cluster,METEOR_base,count,METEOR_aug,METEOR_delta
90,43.74607284241394,22,43.77319901336164,0.027126170947703088
269,43.7438813516417,18,50.97185293876541,7.227971587123712
46,43.735824348441966,7,43.10346569376004,-0.6323586546819229
256,43.61986727984615,27,46.11638880163847,2.4965215217923244
16,43.60004546131836,14,46.56295833613997,2.962912874821612
224,43.59610918111743,13,37.43574252163217,-6.1603666594852555
157,43.42376114995671,5,47.131494354117606,3.7077332041608955
95,43.26973441146293,6,44.91975995095176,1.65002553948883
72,43.237172398096135,13,49.606258109091904,6.369085710995769
298,42.919999656855246,8,47.81327734307106,4.893277686215811
61,42.884721456150025,1,43.4721833939055,0.587461937755478
43,42.74915169033555,2,28.63090363090363,-14.11824805943192
134,42.7451592962208,12,40.95643276018882,-1.7887265360319802
6,42.60974458920428,6,51.59641052032214,8.986665931117855
13,42.52571009614382,13,45.16867201675934,2.6429619206155195
284,42.25161392359567,4,40.73858765368552,-1.5130262699101493
84,42.23452220721888,9,40.66571974651464,-1.5688024607042408
243,42.121594133794034,9,43.510368171357946,1.3887740375639126
213,41.97530864197531,3,38.8318311195446,-3.1434775224307074
195,41.83807219197419,2,31.08770858770859,-10.750363604265601
183,41.83647328057266,3,46.7267568836813,4.890283603108635
31,41.78618313842525,6,51.555219160329536,9.769036021904284
70,41.6212382402622,25,46.52093608687098,4.899697846608781
88,41.54473715269365,14,47.97791328020092,6.433176127507274
222,41.48036548703999,7,36.90492448052536,-4.57544100651463
145,41.37673966653918,16,38.507519729589056,-2.869219936950124
159,41.37157802354032,9,48.76777480743311,7.3961967838927904
131,41.0945356403431,2,63.32533013205282,22.230794491709716
187,41.08183805742063,6,45.982730166868805,4.900892109448172
280,41.079245458520575,8,45.07140207955933,3.9921566210387525
30,40.842493928986414,40,42.72004601800965,1.877552089023233
17,40.79741269237152,17,44.81247854220616,4.0150658498346345
285,40.7645093270601,87,47.56355398569463,6.799044658634536
108,40.53423533439956,12,40.17920005476291,-0.3550352796366525
67,40.45060642827146,15,40.39881376890092,-0.051792659370541116
288,40.42454728296831,4,44.05038085766081,3.6258335746925
137,40.414855239597024,4,35.904966810297694,-4.50988842929933
270,40.38298935554063,4,37.973607456899536,-2.4093818986410938
297,40.33315645542173,8,40.95955483573538,0.6263983803136526
133,40.328707897675855,58,41.236024249281726,0.9073163516058713
211,40.31461888193491,3,45.79038297556816,5.475764093633245
189,40.26651095809906,10,44.95109080716007,4.684579849061009
163,40.21651842549487,9,33.46103904474656,-6.755479380748305
267,40.11733439553191,2,22.54491540205826,-17.572418993473654
169,40.09362246772157,22,40.373220725132825,0.27959825741125144
94,40.02910741635996,8,49.311216057471945,9.282108641111982
128,39.93932014706717,6,42.30035742923508,2.3610372821679064
206,39.87436320354912,12,35.4676537585225,-4.406709445026621
135,39.86231902450804,5,49.70870105630634,9.8463820317983
231,39.81877764244319,11,45.45454368645196,5.635766044008776
148,39.75340136054422,1,36.11650485436893,-3.6368965061752903
123,39.72741607806783,17,39.36281535777951,-0.3646007202883226
110,39.69778829218356,6,34.78851307542988,-4.909275216753677
282,39.62101636520241,1,61.6925669350309,22.07155056982849
64,39.52845608141549,4,42.22242833640662,2.693972254991131
65,39.511895035792094,4,44.99901935405397,5.487124318261877
290,39.50182702055466,7,55.94336101309928,16.44153399254462
304,39.46245779400725,5,50.01461124522813,10.552153451220882
32,39.45301331550804,10,34.8472089869813,-4.605804328526737
44,39.419311093652745,8,42.99334573363127,3.574034639978528
197,39.31461382413107,11,35.743661195305464,-3.5709526288256086
97,39.19292131794541,5,30.98019329408922,-8.212728023856194
39,39.175795139102206,10,38.88111670164983,-0.2946784374523759
281,39.15745772567841,35,41.63926002654519,2.481802300866775
